User name,AWS access key,Event time,Event source,Event name,AWS region,Source IP address,User agent,Error code,Resources,Request ID,Event ID,Read-only,Event type,Recipient Account Id,Event category
CloudTrail,ASIA5LPUWRZIGP7NRAQP,2021-01-26T06:16:46Z,s3.amazonaws.com,PutBucketPolicy,us-east-1,91.46.37.253,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.920 Linux/4.9.230-0.1.ac.223.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.275-b01 java/1.8.0_275 vendor/Oracle_Corporation]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-918025571920-4d8af108""}]",404EEE6D64F56EEA,44421b1d-46e4-47ad-a113-94de6ba91511,false,AwsApiCall,918025571920,Management
CloudTrail,ASIA5LPUWRZIGP7NRAQP,2021-01-26T06:16:46Z,s3.amazonaws.com,CreateBucket,us-east-1,91.46.37.253,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.920 Linux/4.9.230-0.1.ac.223.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.275-b01 java/1.8.0_275 vendor/Oracle_Corporation]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-918025571920-4d8af108""}]",9EFD3113FDC1C137,82ae538d-cb70-4ab8-959d-4ee0926efbfb,false,AwsApiCall,918025571920,Management
CloudTrail,ASIA5LPUWRZIGP7NRAQP,2021-01-26T06:16:46Z,s3.amazonaws.com,PutBucketPublicAccessBlock,us-east-1,91.46.37.253,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.920 Linux/4.9.230-0.1.ac.223.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.275-b01 java/1.8.0_275 vendor/Oracle_Corporation]",AccessDenied,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-918025571920-4d8af108""}]",9F9B1417BE57720A,d7e9bce8-e764-4e78-bf2d-11842f171615,false,AwsApiCall,918025571920,Management
CloudTrail,ASIA5LPUWRZIIUEIJ76Q,2021-01-26T06:09:40Z,iam.amazonaws.com,ChangePassword,us-east-1,AWS Internal,AWS Internal,,[],97f4d664-e579-40bb-81e7-e0384253d24b,3abb9ee9-aa1a-4940-8df3-39a8c54e14e0,false,AwsApiCall,918025571920,Management
CloudTrail,,2021-01-26T06:08:39Z,signin.amazonaws.com,ConsoleLogin,us-east-1,91.46.37.253,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.104 Safari/537.36",,[],,cbabd6f3-a9ed-40b0-9151-7045d25472ed,false,AwsConsoleSignIn,918025571920,Management
root,ASIA5LPUWRZIIWVF6GJV,2021-01-26T06:07:04Z,iam.amazonaws.com,AttachUserPolicy,us-east-1,91.46.37.253,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/IAMUserChangePassword""}]",15aa2445-c62c-4816-9bd5-45198f06694d,1f1850ec-5a28-4459-a0a3-4fd41a5e2e8c,false,AwsApiCall,918025571920,Management
root,ASIA5LPUWRZIIWVF6GJV,2021-01-26T06:07:04Z,iam.amazonaws.com,AddUserToGroup,us-east-1,91.46.37.253,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",6aa64610-639c-4fcb-976f-afd22d01e772,3470c92a-eafb-48f7-a0b4-b34bbadcefdc,false,AwsApiCall,918025571920,Management
root,ASIA5LPUWRZIIWVF6GJV,2021-01-26T06:07:04Z,iam.amazonaws.com,CreateLoginProfile,us-east-1,91.46.37.253,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""}]",89020ae5-2614-4993-bfc7-77c72a34b119,d3d41072-f975-4b81-9d99-574f2a6530e4,false,AwsApiCall,918025571920,Management
root,ASIA5LPUWRZIIWVF6GJV,2021-01-26T06:07:03Z,iam.amazonaws.com,CreateUser,us-east-1,91.46.37.253,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::918025571920:user/Accountant""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDA5LPUWRZIHATM3XDQI""}]",e673d839-8f88-48ef-92b9-3a8e5f22fcbe,1b0dc3c8-6032-44b5-870e-8217cf4c35b5,false,AwsApiCall,918025571920,Management
root,ASIA5LPUWRZIIWVF6GJV,2021-01-26T06:05:39Z,iam.amazonaws.com,CreateLoginProfile,us-east-1,91.46.37.253,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""}]",caf4a32b-9c4c-44d5-9b51-1b05e5c1b14a,74acbf43-f3d3-432f-92d1-b7e19bf99485,false,AwsApiCall,918025571920,Management
